clusterId,primaryTerm,terms,track,score,avgMonthlySearches,topOfPageBid,serpWeakness,hasData,peopleAlsoAsk
c56,elasticsearch pricing,elasticsearch pricing|elasticsearch platinum license cost|elasticsearch pricing calculator|elasticsearch pricing aws|elasticsearch pricing on premise|elasticsearch pricing self hosted|elasticsearch pricing azure|elasticsearch pricing model|elasticsearch pricing tiers|elasticsearch pricing on prem|elasticsearch cloud pricing,vendor,0.7818935354316516,1750,187.24,0.8200000000000001,true,
c61,elasticsearch vs solr,elasticsearch vs solr,vendor,0.7390468838512797,500,149.72,0.8149999999999998,true,
c2,algolia competitors,algolia alternatives|algolia competitors|algolia open source alternative|algolia alternatives open source|algolia alternatives free|algolia search alternatives|best algolia alternatives,vendor,0.7268678700805788,300,1263.8,0.72,true,
c14,algolia best practices,algolia best practices,vendor,0.6958960531036862,50,0,0.845,true,
c62,meilisearch reviews,elasticsearch vs meilisearch|meilisearch reviews,vendor,0.6943483745322575,50,197.46,0.8149999999999998,true,
c17,coveo pricing,coveo pricing|coveo search pricing|how much does coveo cost,vendor,0.6783814102465434,50,215.16,0.8,true,
c71,best elasticsearch tutorial,best elasticsearch tutorial,vendor,0.663753195960829,50,0,0.82,true,
c72,best elasticsearch,best elasticsearch,vendor,0.6573246245322577,50,0,0.8150000000000001,true,
c12,bloomreach vs,algolia vs bloomreach|bloomreach vs algolia|bloomreach vs,vendor,0.6497978911008824,100,1324.5,0.68,true,
c8,algolia vs coveo,algolia vs coveo|coveo vs algolia,vendor,0.6497978911008822,100,1032.65,0.6799999999999999,true,
c90,typesense vs,typesense vs meilisearch|typesense vs elasticsearch|typesense vs|meilisearch vs typesense|meilisearch vs elasticsearch vs typesense,vendor,0.6455770406376057,250,217.77,0.745,true,
c5,algolia vs,algolia vs elasticsearch|algolia vs|algolia vs elastic,vendor,0.6422456043215679,150,606.5,0.6950000000000001,true,
c86,opensearch vs elasticsearch performance,opensearch vs elasticsearch performance,vendor,0.618753195960829,50,0,0.7849999999999999,true,
c68,best elasticsearch course,best elasticsearch course,vendor,0.6123246245322578,50,0,0.78,true,
c7,algolia vs opensearch,algolia vs opensearch,vendor,0.6080389102465433,50,2463.55,0.66,true,
c1,algolia cost,algolia pricing|algolia cost|algolia pricing plans|algolia search pricing|algolia crawler pricing|algolia pricing calculator|algolia pricing model|algolia recommend pricing|algolia premium pricing|algolia docsearch pricing|how much does algolia cost,vendor,0.5807129866442143,900,294.63,0.66,true,
